"plot","year","season","ambr arte","astr allo","astr nutt","bail mult","chae stev","chen frem","cryp cras","cryp micr","desc pinn","eria diff","erig dive","erio aber","erod cicu","erod texa","esch mexi","gili sinu","hapl grac","lapp redo","lepi lasi","lesq gord","lupi conc","mala fend","micr lene","oeno prim","phac ariz","plag ariz","plan purs","sper echi","step exig","vulp octo","treat_before","treat_after","flip_type"
17,2012,"winter",0,0,435,0,40,0,0,0,5,1,0,0,55,0,0,0,0,4,0,97,0,0,0,2,2,0,1,0,0,0,"control","control","control"
17,2008,"winter",0,0,50,0,8,0,0,0,3,0,0,0,135,0,0,0,15,0,2,12,0,0,0,0,0,0,1,0,0,0,"control","control","control"
17,2013,"winter",0,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,"control","control","control"
17,2014,"winter",0,0,41,0,143,0,0,0,12,0,0,0,11,0,0,0,0,0,1,44,0,0,0,0,2,0,0,0,0,0,"control","control","control"
18,2012,"winter",1,0,216,0,108,0,0,0,12,28,0,0,124,0,1,0,0,19,23,22,0,0,0,0,10,0,31,0,0,0,"exclosure","control","exclosure-control"
18,2013,"winter",0,0,2,0,68,0,0,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","control","exclosure-control"
18,2008,"winter",0,0,9,0,9,0,0,0,1,1,1,1,395,0,0,0,31,0,5,3,0,0,0,0,0,0,214,0,0,0,"exclosure","control","exclosure-control"
18,2014,"winter",0,0,51,0,88,0,0,0,8,9,0,0,32,0,0,0,0,0,18,3,1,0,0,0,8,0,3,0,0,0,"exclosure","control","exclosure-control"
18,2015,"winter",0,0,12,0,10,0,0,0,5,9,1,0,8,0,0,0,0,0,5,14,0,0,0,0,0,0,5,0,0,0,"exclosure","control","exclosure-control"
19,2012,"winter",0,0,255,0,55,0,0,0,20,0,0,0,88,0,1,0,0,1,6,33,0,0,0,0,6,0,24,0,0,0,"exclosure","exclosure","exclosure"
19,2013,"winter",0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
19,2014,"winter",0,0,24,0,53,0,0,0,13,2,0,0,27,0,0,0,0,0,4,11,0,0,0,0,7,0,3,0,0,0,"exclosure","exclosure","exclosure"
19,2008,"winter",0,0,63,0,8,0,0,0,8,1,0,2,308,0,0,0,9,0,0,0,0,0,0,0,0,0,58,0,0,0,"exclosure","exclosure","exclosure"
19,2015,"winter",0,0,23,0,15,0,0,0,2,2,0,0,17,0,0,0,0,0,3,46,0,0,0,1,3,0,7,0,0,0,"exclosure","exclosure","exclosure"
20,2012,"winter",0,0,390,0,5,0,0,0,5,0,0,0,188,0,8,0,0,0,2,2,0,0,0,2,10,0,4,1,0,0,"exclosure","exclosure","exclosure"
20,2013,"winter",0,0,10,0,10,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
20,2008,"winter",0,0,46,0,10,0,2,1,1,10,0,0,236,0,1,1,0,0,1,3,0,0,0,0,1,0,3,0,0,0,"exclosure","exclosure","exclosure"
20,2015,"winter",2,0,61,0,15,0,0,0,13,1,0,2,17,0,2,0,0,0,4,9,0,0,0,1,0,0,0,3,0,0,"exclosure","exclosure","exclosure"
20,2014,"winter",0,0,95,0,33,0,0,0,7,2,0,0,48,0,8,0,0,0,6,6,0,1,0,0,1,0,1,1,0,0,"exclosure","exclosure","exclosure"
21,2013,"winter",0,0,25,0,30,0,0,0,1,0,0,0,56,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
21,2012,"winter",0,0,394,0,0,0,0,0,22,0,0,0,211,0,14,0,0,0,2,34,0,0,0,1,12,0,0,0,0,0,"exclosure","exclosure","exclosure"
21,2008,"winter",0,0,66,0,6,0,0,0,34,0,3,2,449,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,"exclosure","exclosure","exclosure"
21,2015,"winter",0,0,46,0,17,0,0,0,19,4,0,23,6,0,14,0,0,0,3,78,1,0,0,3,0,0,0,2,0,0,"exclosure","exclosure","exclosure"
21,2014,"winter",0,0,93,0,11,0,0,0,80,1,0,0,46,0,17,0,0,0,0,118,0,1,0,1,10,0,0,0,0,0,"exclosure","exclosure","exclosure"
22,2013,"winter",0,0,10,0,5,0,0,0,1,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"control","exclosure","control-exclosure"
22,2008,"winter",0,0,6,0,0,0,0,1,2,0,0,3,362,0,2,1,3,0,0,0,0,0,0,0,0,0,13,1,0,5,"control","exclosure","control-exclosure"
22,2012,"winter",0,0,204,0,0,0,1,0,22,0,0,0,255,0,84,0,0,0,3,0,1,0,0,0,19,0,1,6,0,1,"control","exclosure","control-exclosure"
22,2014,"winter",0,0,130,0,8,0,0,0,17,7,0,0,89,0,62,0,0,1,23,0,0,0,0,0,9,0,0,3,0,1,"control","exclosure","control-exclosure"
22,2015,"winter",0,0,18,0,8,0,1,0,38,19,1,144,9,0,10,0,0,0,41,1,0,0,0,1,4,0,1,0,0,1,"control","exclosure","control-exclosure"
23,2015,"winter",0,0,96,0,8,0,0,0,9,6,0,0,29,0,0,0,0,0,0,54,0,0,0,0,1,0,36,0,0,0,"removal","removal","removal"
23,2008,"winter",0,0,153,0,5,0,0,0,4,0,0,2,382,8,0,0,2,0,0,16,0,0,0,0,0,0,28,0,0,0,"removal","removal","removal"
23,2013,"winter",0,0,2,0,19,0,0,0,0,0,0,0,90,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,"removal","removal","removal"
23,2012,"winter",0,0,827,0,10,0,0,0,66,0,0,0,178,0,6,0,0,0,0,30,0,0,0,0,1,0,8,4,0,0,"removal","removal","removal"
23,2014,"winter",0,0,292,0,17,0,0,0,5,1,0,0,70,0,1,0,0,0,0,32,0,0,0,0,3,0,5,0,0,0,"removal","removal","removal"
24,2012,"winter",0,0,74,0,26,0,0,0,13,1,0,0,42,0,0,0,0,0,0,42,0,0,0,2,13,0,15,0,0,0,"removal","control","removal-control"
24,2008,"winter",0,0,13,0,2,0,0,0,5,0,0,1,176,0,0,0,0,0,0,2,0,0,0,0,0,0,65,0,0,0,"removal","control","removal-control"
24,2013,"winter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"removal","control","removal-control"
24,2015,"winter",0,1,46,1,2,0,2,0,9,1,0,0,16,0,0,0,0,0,1,58,0,0,0,0,1,0,6,0,0,0,"removal","control","removal-control"
24,2014,"winter",0,0,4,0,9,0,0,0,15,4,0,0,13,0,0,0,0,0,0,16,0,0,0,0,5,0,1,0,0,0,"removal","control","removal-control"
